Date,yoy reservations %,New Cases,support-quarantine,wearing-masks,avoiding-crowds,% of hospital capacity for covid,# of hospitalisations,% of hospitalizations for covid,# ICU Beds for covid,Total_Reported
2020-02-18,0.0,,,,,,,,,
2020-02-19,-6.0,,,,,,,,,
2020-02-20,0.0,,,,,,,,,
2020-02-21,2.0,,,,,,,,,
2020-02-22,1.0,,,,,,,,,
2020-02-23,-3.0,,,,,,,,,
2020-02-24,0.0,,,,,,,,,
2020-02-25,9.0,,,,,,,,,
2020-02-26,0.0,,,,,,,,,
2020-02-27,0.0,,,,,,,,,
2020-02-28,4.0,,,,,,,,,
2020-02-29,6.0,,,,,,,,,
2020-03-01,7.0,,,,,,,,,
2020-03-02,-2.0,,58.0,7.0,24.0,,,,,
2020-03-03,-9.0,,,,,,,,,
2020-03-04,-8.0,0.0,,,,,,,,
2020-03-05,1.0,0.0,,,,,,,,
2020-03-06,2.0,5.0,,,,,,,,
2020-03-07,-3.0,0.0,,,,,,,,
2020-03-08,-5.0,0.0,,,,,,,,
2020-03-09,-21.0,7.0,,,,,,,,
2020-03-10,-14.0,3.0,,,,,,,,
2020-03-11,-14.0,3.0,,,,,,,,
2020-03-12,-25.0,4.0,,,,,,,,
2020-03-13,-35.0,0.0,,,,,,,,0.0
2020-03-14,-34.0,0.0,,,,,,,,0.0
2020-03-15,-42.0,34.0,,,,,,,,0.0
2020-03-16,-58.0,0.0,,,,,,,,0.0
2020-03-17,-90.0,7.0,61.0,5.0,49.0,,,,,0.0
2020-03-18,-95.0,19.0,,,,,,,,34.0
2020-03-19,-99.03,26.0,,,,,,,,51.0
2020-03-20,-99.33,67.0,,,,,,,,69.0
2020-03-21,-100.0,60.0,,,,,,,,73.0
2020-03-22,-100.0,28.0,,,,,,,,91.0
2020-03-23,-100.0,24.0,64.0,11.0,65.0,,,,,100.0
2020-03-24,-100.0,425.0,,,,,,,,113.0
2020-03-25,-99.9,263.0,,,,,,,,134.0
2020-03-26,-100.0,419.0,,,,,,,,152.0
2020-03-27,-100.0,337.0,,,,,,,,178.0
2020-03-28,-100.0,317.0,,,,,,,,200.0
2020-03-29,-100.0,504.0,,,,,,,,219.0
2020-03-30,-100.0,322.0,71.0,17.0,77.0,,,,,226.0
2020-03-31,-100.0,392.0,,,,,,,,267.0
2020-04-01,-99.96,730.0,,,,,,,,329.0
2020-04-02,-99.97,669.0,,,,,,,,374.0
2020-04-03,-100.0,659.0,,,,,,,,454.0
2020-04-04,-100.0,788.0,,,,,,,,486.0
2020-04-05,-100.0,681.0,,,,,,,,511.0
2020-04-06,-100.0,480.0,69.0,29.0,72.0,,,,,532.0
2020-04-07,-99.95,988.0,,,,,,,,585.0
2020-04-08,-100.0,1092.0,,,,,,,,631.0
2020-04-09,-100.0,877.0,,,,,,,,677.0
2020-04-10,-99.89,1441.0,,,,,,,,730.0
2020-04-11,-99.96,890.0,,,,,,,,784.0
2020-04-12,-100.0,923.0,,,,0.90%,22.0,2.10%,12.0,815.0
2020-04-13,-99.95,422.0,69.0,49.0,75.0,1.20%,26.0,2.50%,15.0,898.0
2020-04-14,-100.0,718.0,,,,1.10%,28.0,2.40%,16.0,943.0
2020-04-15,-100.0,868.0,,,,1.30%,30.0,2.90%,17.0,1020.0
2020-04-16,-100.0,963.0,,,,0.90%,22.0,2.30%,14.0,1074.0
2020-04-17,-99.95,916.0,,,,1.60%,36.0,3.60%,13.0,1122.0
2020-04-18,-100.0,889.0,,,,1.20%,29.0,2.90%,10.0,1142.0
2020-04-19,-100.0,663.0,,,,1.00%,25.0,2.10%,13.0,1159.0
2020-04-20,-100.0,535.0,66.0,58.0,73.0,1.20%,27.0,2.60%,7.0,1225.0
2020-04-21,-100.0,738.0,,,,1.00%,23.0,2.60%,7.0,1285.0
2020-04-22,-100.0,873.0,,,,2.50%,62.0,4.50%,29.0,1315.0
2020-04-23,-100.0,875.0,,,,2.90%,83.0,4.60%,37.0,1365.0
2020-04-24,-100.0,862.0,,,,2.30%,76.0,3.80%,31.0,1433.0
2020-04-25,-99.96,967.0,,,,1.90%,59.0,3.40%,25.0,1454.0
2020-04-26,-100.0,858.0,,,,1.70%,47.0,3.30%,20.0,1472.0
2020-04-27,-99.92,666.0,66.0,63.0,72.0,1.90%,46.0,3.50%,23.0,1525.0
2020-04-28,-99.89,874.0,,,,1.70%,51.0,2.90%,27.0,1608.0
2020-04-29,-99.99,883.0,,,,2.40%,81.0,4.00%,35.0,1660.0
2020-04-30,-99.65,1033.0,,,,2.60%,88.0,4.20%,35.0,1723.0
2020-05-01,-85.47,1142.0,,,,2.40%,68.0,4.10%,25.0,1754.0
2020-05-02,-87.47,1293.0,,,,1.80%,47.0,3.30%,19.0,1787.0
2020-05-03,-89.14,1026.0,,,,2.30%,59.0,3.80%,29.0,1829.0
2020-05-04,-89.81,784.0,,,,2.00%,47.0,3.70%,21.0,1889.0
2020-05-05,-86.09,1037.0,,,,2.10%,68.0,3.60%,29.0,1949.0
2020-05-06,-87.8,1053.0,62.0,,,2.90%,93.0,4.20%,33.0,2024.0
2020-05-07,-87.43,968.0,,,,2.60%,84.0,3.80%,26.0,2081.0
2020-05-08,-82.47,1219.0,,,,2.60%,82.0,4.00%,27.0,2153.0
2020-05-09,-82.68,1251.0,,,,1.90%,56.0,3.00%,19.0,2180.0
2020-05-10,-83.05,1009.0,,,,2.10%,50.0,3.50%,24.0,2213.0
2020-05-11,-83.04,1000.0,,,,2.00%,49.0,3.50%,26.0,2257.0
2020-05-12,-84.01,1179.0,,,,2.30%,72.0,3.50%,32.0,2325.0
2020-05-13,-82.79,1355.0,,,,2.90%,98.0,4.10%,38.0,2382.0
2020-05-14,-80.88,1448.0,,,,2.30%,72.0,3.60%,30.0,2441.0
2020-05-15,-77.11,1347.0,,,,3.00%,99.0,4.30%,42.0,2480.0
2020-05-16,-74.98,1801.0,,,,2.60%,76.0,3.70%,33.0,2525.0
2020-05-17,-75.03,785.0,,,,0.40%,7.0,0.90%,3.0,2559.0
2020-05-18,-79.08,909.0,,,,1.50%,25.0,2.90%,9.0,2637.0
2020-05-19,-76.76,1219.0,,,,2.10%,54.0,3.60%,19.0,2696.0
2020-05-20,-73.17,1411.0,,,,2.70%,82.0,3.90%,34.0,2745.0
2020-05-21,-69.25,945.0,,,,2.00%,56.0,3.20%,19.0,2814.0
2020-05-22,-64.16,1181.0,,,,1.20%,30.0,1.90%,8.0,2864.0
2020-05-23,-63.16,1060.0,,,,3.10%,103.0,4.10%,40.0,2894.0
2020-05-24,-67.35,839.0,,,,1.90%,43.0,3.30%,17.0,2957.0
2020-05-25,-60.81,623.0,,,,1.00%,20.0,2.00%,8.0,3044.0
2020-05-26,-64.45,589.0,56.0,68.0,65.0,1.50%,35.0,3.00%,14.0,3095.0
2020-05-27,-61.94,1361.0,,,,1.60%,46.0,2.70%,15.0,3170.0
2020-05-28,-61.99,1855.0,,,,2.30%,66.0,3.40%,30.0,3238.0
2020-05-29,-54.89,1230.0,,,,2.80%,93.0,3.80%,44.0,3301.0
2020-05-30,-54.87,1332.0,,,,2.80%,92.0,3.90%,42.0,3348.0
2020-05-31,-58.94,1949.0,,,,2.70%,87.0,3.80%,39.0,3388.0
2020-06-01,-64.19,593.0,56.0,69.0,65.0,2.80%,89.0,4.10%,41.0,3477.0
2020-06-02,-63.89,1688.0,,,,2.80%,89.0,4.20%,40.0,3554.0
2020-06-03,-56.84,1703.0,,,,2.90%,98.0,4.00%,40.0,3626.0
2020-06-04,-55.14,1649.0,,,,2.60%,88.0,3.40%,40.0,3688.0
2020-06-05,-49.17,1693.0,,,,2.30%,79.0,3.00%,36.0,3743.0
2020-06-06,-46.21,1940.0,,,,2.70%,89.0,3.50%,37.0,3791.0
2020-06-07,-49.15,1425.0,,,,2.60%,100.0,3.50%,44.0,3826.0
2020-06-08,-59.1,638.0,50.0,66.0,60.0,2.80%,87.0,4.00%,40.0,3944.0
2020-06-09,-55.26,1637.0,,,,2.80%,90.0,3.90%,39.0,4107.0
2020-06-10,-51.19,2504.0,,,,2.90%,93.0,3.80%,39.0,4241.0
2020-06-11,-49.69,1826.0,,,,2.70%,89.0,3.50%,40.0,4370.0
2020-06-12,-43.78,2097.0,,,,3.60%,120.0,4.70%,47.0,4448.0
2020-06-13,-44.93,2331.0,,,,3.70%,121.0,4.70%,49.0,4595.0
2020-06-14,-68.69,1843.0,,,,3.70%,123.0,4.90%,50.0,4682.0
2020-06-15,-52.5,1254.0,56.0,69.0,64.0,4.70%,141.0,6.60%,52.0,4803.0
2020-06-16,-55.22,4098.0,,,,4.20%,137.0,5.90%,54.0,4910.0
2020-06-17,-53.45,3129.0,,,,4.40%,148.0,5.90%,56.0,5130.0
2020-06-18,-53.4,3516.0,,,,4.90%,164.0,6.40%,63.0,0.0
2020-06-19,-44.32,3454.0,,,,5.00%,179.0,6.40%,73.0,5423.0
2020-06-20,-41.55,4430.0,,,,5.20%,181.0,6.70%,72.0,5847.0
2020-06-21,-9.39,3866.0,,,,5.90%,196.0,7.70%,79.0,6353.0
2020-06-22,-58.51,3280.0,53.0,71.0,63.0,6.40%,205.0,8.40%,82.0,6482.0
2020-06-23,-61.61,5489.0,,,,7.60%,245.0,10.20%,100.0,6743.0
2020-06-24,-60.48,5551.0,,,,8.10%,274.0,10.30%,106.0,7061.0
2020-06-25,-61.39,5996.0,,,,8.60%,288.0,10.70%,112.0,7246.0
2020-06-26,-58.43,5707.0,,,,8.60%,296.0,10.90%,114.0,0.0
2020-06-27,-54.77,5742.0,,,,9.60%,337.0,12.50%,121.0,7982.0
2020-06-28,-60.8,5357.0,,,,10.30%,343.0,13.60%,120.0,8623.0
2020-06-29,-65.86,4288.0,,,,12.00%,373.0,16.50%,125.0,9137.0
2020-06-30,-64.24,6975.0,,,,12.30%,388.0,16.30%,135.0,9705.0
2020-07-01,-65.92,8076.0,,,,12.10%,404.0,15.80%,137.0,10302.0
2020-07-02,-48.47,7915.0,,,,12.90%,426.0,16.10%,159.0,10874.0
2020-07-03,-56.42,7555.0,,,,13.40%,459.0,17.50%,168.0,11192.0
2020-07-04,-75.42,8258.0,,,,13.60%,461.0,17.50%,175.0,11333.0
