Last_Update,Total_Reported
3/13/20 17:00,0
3/14/20 20:24,0
3/15/20 20:23,0
3/16/20 17:00,0
3/17/20 17:00,0
3/18/20 17:00,34
3/19/20 17:00,51
3/20/20 17:00,69
3/21/20 17:00,73
3/22/20 17:00,91
3/23/20 17:00,100
3/24/20 17:00,113
3/25/20 17:00,134
3/26/20 17:00,152
3/27/20 17:00,178
3/28/20 21:54,200
3/29/20 22:18,219
3/30/20 20:48,226
3/31/20 20:51,267
4/1/20 21:29,329
4/2/20 20:35,374
4/3/20 20:55,454
4/4/20 22:05,486
4/5/20 20:32,511
4/6/20 21:46,532
4/7/20 22:03,585
4/8/20 21:53,631
4/9/20 23:55,677
4/10/20 23:12,730
4/11/20 21:59,784
4/12/20 21:59,815
4/13/20 21:55,898
4/14/20 17:03,943
4/15/20 17:37,1020
4/16/20 17:58,1074
4/17/20 17:44,1122
4/18/20 17:45,1142
4/19/20 17:51,1159
4/20/20 18:16,1225
4/21/20 17:59,1285
4/22/20 17:53,1315
4/23/20 17:58,1365
4/24/20 18:08,1433
4/25/20 17:39,1454
4/26/20 18:03,1472
4/27/20 17:54,1525
4/28/20 17:46,1608
4/29/20 21:59,1660
4/30/20 21:59,1723
5/1/20 21:59,1754
5/2/20 21:59,1787
5/3/20 22:58,1829
5/4/20 21:59,1889
5/5/20 21:59,1949
5/6/20 21:59,2024
5/7/20 21:59,2081
5/8/20 21:59,2153
5/9/20 21:59,2180
5/10/20 21:59,2213
5/11/20 21:59,2257
5/12/20 21:59,2325
5/13/20 21:00,2382
5/14/20 16:16,2441
5/15/20 21:59,2480
5/16/20 21:59,2525
5/17/20 22:39,2559
5/18/20 20:19,2637
5/19/20 22:35,2696
5/20/20 22:40,2745
5/21/20 21:59,2814
5/22/20 21:59,2864
5/23/20 22:38,2894
5/24/20 22:43,2957
5/25/20 22:45,3044
5/26/20 22:00,3095
5/27/20 22:07,3170
5/28/20 22:14,3238
5/29/20 22:23,3301
5/30/20 16:32,3348
5/31/20 15:33,3388
6/1/20 16:49,3477
6/2/20 22:04,3554
6/3/20 14:12,3626
6/4/20 16:31,3688
6/5/20 15:10,3743
6/6/20 15:10,3791
6/7/20 22:43,3826
6/8/20 22:04,3944
6/9/20 22:02,4107
6/10/20 22:28,4241
6/11/20 22:18,4370
6/12/20 22:27,4448
6/13/20 22:08,4595
6/14/20 22:31,4682
6/15/20 22:12,4803
6/16/20 22:06,4910
6/17/20 22:05,5130
6/19/20 22:33,5423
6/18/20 18:06,0
6/20/20 15:42,5847
6/21/20 17:01,6353
6/22/20 22:07,6482
6/23/20 17:20,6743
6/24/20 17:35,7061
6/25/20 15:09,7246
6/27/20 17:30,7982
6/26/20 18:30,0
6/28/20 17:34,8623
6/29/20 17:45,9137
6/30/20 17:22,9705
7/1/20 17:07,10302
7/2/20 17:22,10874
7/3/20 16:41,11192
7/4/20 16:29,11333
7/5/20 17:20,11886
7/6/20 22:15,12200
7/7/20 16:18,12686
7/8/20 16:48,13439
7/9/20 16:47,14144
7/10/20 21:59,14629
7/11/20 10:42,14948
7/12/20 10:42,15114
7/13/20 10:42,15727
7/14/20 10:42,16287
7/15/20 10:43,16868
7/16/20 10:43,17292
7/17/20 10:43,17534
7/18/20 10:43,17782
7/19/20 10:44,17979
7/20/20 10:44,18130
7/21/20 10:44,18744
7/22/20 10:44,19125
7/23/20 10:45,19377
7/24/20 10:46,19650
7/25/20 16:10,19874
7/26/20 16:12,19960
7/27/20 16:13,20202
7/28/20 16:13,20506
7/29/20 16:13,20744
7/30/20 16:13,21010
7/31/20 16:14,21302
8/1/20 16:28,21525
8/2/20 16:31,21776
8/3/20 16:31,22114
8/4/20 16:31,22394
8/5/20 16:31,22606
8/6/20 16:31,22844
8/7/20 16:32,23069
8/8/20 16:32,23192
8/9/20 16:32,23314
8/10/20 16:32,23544
8/11/20 17:05,23843
8/12/20 17:05,24020
8/13/20 16:17,24324
8/14/20 16:17,24482
8/15/20 16:17,24621
8/16/20 16:17,24758
8/17/20 16:18,25027
8/18/20 16:18,25381
8/19/20 16:18,25690
8/20/20 16:18,25992
8/21/20 16:37,26200
8/22/20 16:37,26289
8/23/20 16:37,26386
8/24/20 18:00,26545
8/25/20 21:59,26685
8/26/20 21:59,26790
8/27/20 21:59,26922
8/28/20 21:59,26998
8/29/20 21:59,27010
8/30/20 21:59,27131
8/31/20 21:59,27221
9/1/20 21:59,27290
9/2/20 21:59,27355
9/3/20 16:54,27467
9/4/20 22:21,27596
9/5/20 22:22,27678
9/6/20 22:11,27717
9/7/20 22:38,27794
9/8/20 22:06,27888
9/9/20 22:18,27982
9/10/20 22:12,28206
9/11/20 22:41,28317
9/12/20 22:00,28381
9/13/20 22:00,28507
9/14/20 22:00,28589
9/15/20 22:40,28778
9/16/20 22:08,28927
9/17/20 22:00,29040
9/18/20 22:00,29212
9/19/20 22:00,29275
9/20/20 22:00,29283
9/21/20 22:00,29441
9/22/20 22:00,29496
9/23/20 22:00,29602
9/24/20 22:51,29772
9/25/20 22:43,29946
9/26/20 22:00,30005
9/27/20 22:00,30127
9/28/20 22:06,30222
9/29/20 22:00,30309
9/30/20 22:20,30406
10/1/20 22:47,30475
10/2/20 22:52,30548
10/3/20 22:34,30656
10/4/20 22:55,30705
10/5/20 22:28,30769
10/6/20 22:39,30870
10/7/20 22:33,30924
10/8/20 22:27,31008
10/9/20 22:23,31101
10/10/20 22:10,31140
10/11/20 22:00,31208
10/12/20 22:19,31341
10/13/20 22:52,
10/14/20 17:31,31554
10/15/20 22:16,31650
